   1  50  -0.577
  dcur_p=  0.1200903      dcur_s=  0.1072230    
          21  -78.43581      -44.37598       14.09754              16
   1  98  -0.219
   1  41  -0.137
   2  41  -0.107
   1  39   0.065
   1  40  -0.236
   1  48   0.039
   2  48  -0.036
   1  47  -0.359
   1  52   0.206
   2  52   0.024
   1  44  -0.149
   1  38   0.056
   2  38   0.207
   1  45   0.606
   2  45   0.672
   1 102   0.450
  dcur_p=  0.2291856      dcur_s=  0.2090023    
          22   82.91393      -30.64987       35.29282              21
   1  93   0.178
   1  45   0.018
   2  45   0.170
   1   9  -0.014
   2   9  -0.179
   1 107  -0.045
   1  38  -0.103
   2  38  -0.401
   1  52   0.033
   2  52   0.104
   1  44  -0.134
   2  44  -0.153
   1  48  -0.103
   1  50  -0.438
   2  50  -0.295
   2  47  -0.518
   1  39   0.056
   2  39   0.333
   1 102   0.592
   1  40  -0.204
   1  94   0.517
  dcur_p=  0.1874458      dcur_s=  0.2691438    
          23  -52.49687       83.64851       9.472184              10
   1  41  -0.297
   1  40   0.818
   1  51   0.328
   1  47  -0.844
   1  39  -0.484
   1  48   0.063
   1  44  -0.691
   1  42   1.417
   1  52   0.029
   1  38   0.096
  dcur_p=  0.5066985      dcur_s=  0.0000000E+00
          24   41.16869      -41.54590       28.28225              22
   1  90  -0.003
   1  45   0.045
   1 104   0.353
   1   9   0.034
   2   9  -0.229
   1  38  -0.129
   1  52  -0.224
   2  52  -0.225
   1  93   0.202
   1  48  -0.180
   2  48   0.020
   1  44   0.019
   1  39   0.223
   2  39   0.150
   1  47  -0.189
   1  50  -0.102
   1  40  -0.115
   2  40   0.190
   1  41  -0.077
   2  41  -0.068
   1 102   0.046
   1 107  -0.100
  dcur_p=  0.1275339      dcur_s=  0.1470013    
          25   35.40054      -48.68787       13.41679              26
   1  90  -0.077
   1 104   0.670
   1  45  -0.169
   2  45   0.000
   2   9  -0.306
   1  42   0.164
   2  42   1.144
   1  52  -0.154
   2  52   0.013
   1  38  -0.075
   2  38  -0.485
   1  48  -0.004
   1  93   0.034
   1  44  -0.180
   1  39   0.426
   2  39   0.431
   1  47  -0.227
   1  50  -0.283
   2  50  -0.515
   1  40   0.024
   2  40  -0.251
   1  41   0.157
   2  41  -0.146
   1 102   0.439
   1 107  -0.147
   1  98  -0.845
  dcur_p=  0.2397323      dcur_s=  0.3656892    
          26   43.32260      -40.04819       30.87630              26
   1  90   0.111
   1  45   0.077
   1 104  -0.170
   2   9  -0.024
   1  93   0.184
   1  42   0.036
   2  42   0.492
   1  52  -0.154
   2  52  -0.355
   1  38  -0.047
   2  38  -0.111
   1  48  -0.161
   2  48  -0.149
   1  44   0.379
   1  39   0.145
   2  39   0.146
   1  47  -0.154
   1  50   0.038
   2  50  -0.195
   1  41  -0.049
   2  41  -0.047
   1  40  -0.157
   2  40   0.101
   2  51   0.388
   1 107   0.050
   1  98  -0.452
  dcur_p=  0.1477619      dcur_s=  0.2007521    
          27  -4.214753       23.79952       11.60960              17
   1  47  -0.173
   2  47  -0.163
   1  40  -0.010
   2  40   0.043
   1  48  -0.025
   2  48  -0.146
   1  39   0.014
   2  39   0.184
   1  51   0.038
   2  51   0.019
   1  41  -0.004
   1  44   0.268
   2  44  -0.085
   1  52  -0.087
   2  52   0.026
   1  38  -0.010
   2  38   0.053
  dcur_p=  6.9816507E-02  dcur_s=  8.9903861E-02
          28  -49.90736       24.92216       23.94073              16
   1  98  -0.092
   1  41   0.016
   2  41  -0.018
   1  40   0.024
   2  40   0.065
   1  39   0.108
   2  39  -0.188
   1  47   0.019
   2  47  -0.116
   1  48   0.136
   1  51  -0.015
   1  52  -0.027
   1  44  -0.009
   1  94   0.010
   1  38  -0.063
   1 102  -0.163
  dcur_p=  5.6719024E-02  dcur_s=  9.6808195E-02
          29  -25.65508      -1.524323       20.15059              15
   1  39  -0.056
   1  41  -0.031
   2  41   0.209
   1  42   0.056
   2  42   0.137
   1  48  -0.001
   2  48  -0.099
   1  40   0.013
   2  40  -0.057
   1  52   0.004
   2  52  -0.023
   1  44  -0.111
   2  44   0.011
   1  38   0.005
   1  51   0.124
  dcur_p=  4.4642132E-02  dcur_s=  8.9484848E-02
          30   32.98613      -48.87685       3.625207              32
   1  90   0.032
   1 104   0.962
   1  45  -0.056
   2  45   0.097
   1   9  -0.454
   2   9  -0.160
   1  42   0.003
   2  42   0.242
   1  52   0.055
   2  52   0.061
   1  38  -0.097
   2  38  -0.436
   1  48  -0.058
   2  48   0.275
   1  44  -0.084
   2  44  -0.102
   1  93   0.228
   1  39   0.354
   2  39   0.406
   1  47  -0.129
   2  47  -0.506
   1  50  -0.204
   2  50  -0.613
   1  40  -0.150
   2  40  -0.451
   1  41  -0.126
   2  41  -0.495
   1  51  -0.356
   2  51   0.035
   1 102   0.570
   1 107  -0.020
   1 105  -0.513
  dcur_p=  0.2342995      dcur_s=  0.2984298    
          31   42.44899      -39.86700       29.07259              11
   1  45   0.049
   1   9  -0.035
   2   9  -0.020
   1  48  -0.240
   1  44   0.281
   1  39   0.005
   2  39   0.223
   1  50  -0.079
   2  50  -0.164
   1  41   0.009
   2  41  -0.132
  dcur_p=  9.9637710E-02  dcur_s=  0.1347642    
          32   65.63097      -51.10096       32.49455              19
   1  90   0.317
   1 104   0.382
   1  45   0.334
   2  45   0.261
   1  93  -0.189
   1   9  -0.178
   1  38  -0.148
   1  52   0.190
   2  52   0.359
   1 107  -0.116
   1  44  -0.075
   1  48   0.194
   1  50  -0.205
   2  50  -0.036
   1  39   0.009
   1  51  -0.314
   2  51  -0.230
   1  40  -0.125
   1  41  -0.448
  dcur_p=  0.2149481      dcur_s=  0.2217607    
